example,plain_example,type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type
"<example correction=""brothers-in-law"">How many <marker>brothers-in-laws</marker> do you have?</example>",How many brothers-in-laws do you have?,group,0,TYPOS,Possible Typo,misspelling,IN_LAWS,brother-in-laws (brothers-in-law),
"<example correction=""brothers-in-law"">How many <marker>brother-in-laws</marker> do you have?</example>",How many brother-in-laws do you have?,group,1,TYPOS,Possible Typo,misspelling,IN_LAWS,brother-in-laws (brothers-in-law),
"<example correction=""word"">She was true to her <marker>words</marker>.</example>",She was true to her words.,single,,TYPOS,Possible Typo,misspelling,TRUE_TO_WORD,true to her words (word),
"<example correction=""180"">She made a <marker>360</marker> degree change in her life.</example>",She made a 360 degree change in her life.,single,,TYPOS,Possible Typo,misspelling,DEGREE_CHANGE,360 (180) degree change,
"<example correction=""toe"">We'll <marker>tow</marker> the line.</example>",We'll tow the line.,single,,TYPOS,Possible Typo,misspelling,TOW_THE_LINE,tow (toe) the line,
"<example correction=""racked"">He <marker>wracked</marker> his brain about it.</example>",He wracked his brain about it.,single,,TYPOS,Possible Typo,misspelling,RACK_BRAIN,wrack (rack) one's brain about,
"<example correction=""Hallo""><marker>Halo</marker> John!</example>",Halo John!,single,,TYPOS,Possible Typo,misspelling,HALO_HALLO,Halo (Hallo),
"<example correction=""We're""><marker>We'Re</marker> looking forward to our meeting.</example>",We'Re looking forward to our meeting.,group,0,TYPOS,Possible Typo,misspelling,APOS_RE,we'Re' (we're) etc,
"<example correction=""don't"">We <marker>don'T</marker> need this.</example>",We don'T need this.,group,1,TYPOS,Possible Typo,misspelling,APOS_RE,we'Re' (we're) etc,
"<example correction=""as follows"">We can elaborate this distinction <marker>as follow</marker>.</example>",We can elaborate this distinction as follow.,single,,TYPOS,Possible Typo,misspelling,AS_FOLLOW_AS_FOLLOWS,'as follow' (as follows),
"<example correction=""be"">This can <marker>by</marker> consistent  with usability constraints.</example>",This can by consistent  with usability constraints.,single,,TYPOS,Possible Typo,misspelling,BY_PASSIVE_PARTICIPLE_BE,'by' + passive participle (be),
"<example correction=""misunderstand"">Did I <marker>miss understand</marker> you?</example>",Did I miss understand you?,group,0,TYPOS,Possible Typo,misspelling,MISS_VERB,miss use (misuse),
"<example correction=""World War"">He was a member of the anti-aircraft artillery during <marker>Word War</marker> II</example>",He was a member of the anti-aircraft artillery during Word War II,group,0,TYPOS,Possible Typo,misspelling,WORD_WAR,Word War (World War),
"<example correction=""won't|won’t"">No, I <marker>wont</marker> do that.</example>","No, I wont do that.",single,,TYPOS,Possible Typo,misspelling,WONT,wont (won't),
"<example correction=""I'll"">Yes, <marker>I'l</marker>.</example>","Yes, I'l.",group,0,TYPOS,Possible Typo,misspelling,PERS_PRON_CONTRACTION,I'l (I'll) etc.,
"<example correction=""we're"">Yes, <marker>we'r</marker> over here.</example>","Yes, we'r over here.",group,1,TYPOS,Possible Typo,misspelling,PERS_PRON_CONTRACTION,I'l (I'll) etc.,
"<example correction=""we've"">Yes, <marker>we'v</marker> discussed that.</example>","Yes, we'v discussed that.",group,2,TYPOS,Possible Typo,misspelling,PERS_PRON_CONTRACTION,I'l (I'll) etc.,
"<example correction=""Best""><marker>Beat</marker> Regards, Daniel</example>","Beat Regards, Daniel",single,,TYPOS,Possible Typo,misspelling,BEAT_REGARDS,beat (best) regards,
"<example correction=""long"">See you all there - this is <marker>ling</marker> overdue.</example>",See you all there - this is ling overdue.,single,,TYPOS,Possible Typo,misspelling,LING,ling (long),
"<example correction=""want"">But I <marker>wan't</marker> to suggest something else.</example>",But I wan't to suggest something else.,single,,TYPOS,Possible Typo,misspelling,WAN_T,wan't (want),
"<example correction=""recent"">The country has so far not changed its <marker>re cent</marker> five-year plan.</example>",The country has so far not changed its re cent five-year plan.,single,,TYPOS,Possible Typo,misspelling,RE_CENT,re cent (recent),
"<example correction=""which|if|if, which"">We cannot know <marker>if which</marker> functionality gets tested.</example>",We cannot know if which functionality gets tested.,single,,TYPOS,Possible Typo,misspelling,IF_WHICH,if which,
"<example correction=""lots"">There was <marker>lot's</marker> of stuff.</example>",There was lot's of stuff.,single,,TYPOS,Possible Typo,misspelling,LOT_S,lot's of (lots of),
"<example correction=""news"">The bad <marker>new</marker> is that it doesn't work.</example>",The bad new is that it doesn't work.,single,,TYPOS,Possible Typo,misspelling,GOOD_NEWS,the good new (news) is ...,
"<example correction=""a bit"">So I confused things <marker>a but</marker> and it was Kai who had planned that.</example>",So I confused things a but and it was Kai who had planned that.,single,,TYPOS,Possible Typo,misspelling,A_BUT,a but (a bit),
"<example correction=""too long"">I was away for <marker>tool long</marker>.</example>",I was away for tool long.,single,,TYPOS,Possible Typo,misspelling,TOOL_LONG,tool long (too long),
"<example correction=""and then"">Tonight I'm going to eat dinner at Alyssa's <marker>an then</marker> go to Christina's.</example>",Tonight I'm going to eat dinner at Alyssa's an then go to Christina's.,single,,TYPOS,Possible Typo,misspelling,AN_THEN,an then (and then),
"<example correction=""aha"">After that we had an ""<marker>ah ha</marker>"" moment and that was it.</example>","After that we had an ""ah ha"" moment and that was it.",single,,TYPOS,Possible Typo,misspelling,AH_HA,ah ha (aha),
"<example correction=""way"">But is there a <marker>was</marker> to work around the problem?</example>",But is there a was to work around the problem?,single,,TYPOS,Possible Typo,misspelling,A_WAS,a was (way),
"<example correction=""All through""><marker>All though</marker> the day: a song by Anita O'Day.</example>",All though the day: a song by Anita O'Day.,group,0,TYPOS,Possible Typo,misspelling,ALLTHOUGH,all though (although),
"<example correction=""Although""><marker>All though</marker> I liked the book, I had to stop reading it.</example>","All though I liked the book, I had to stop reading it.",group,1,TYPOS,Possible Typo,misspelling,ALLTHOUGH,all though (although),
"<example correction=""known"">He is also <marker>know</marker> as the first Chechen writer.</example>",He is also know as the first Chechen writer.,single,,TYPOS,Possible Typo,misspelling,ALSO_KNOW,also know (known),
"<example correction=""as opposed to"">Professional sports, <marker>as oppose to</marker> amateur sports , are sport s in which athletes receive payment for their performance</example>","Professional sports, as oppose to amateur sports , are sport s in which athletes receive payment for their performance",single,,TYPOS,Possible Typo,misspelling,AS_OPPOSE_TO_AS_OPPOSED_TO,as oppose to (as opposed to),
