type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type,en_msg,zh_msg
group,0,TYPOS,Possible Typo,misspelling,IN_LAWS,brother-in-laws (brothers-in-law),,"<message>Did you mean <suggestion><match no=""1"" regexp_match=""s$"" regexp_replace="""" /></suggestion>?</message>","<message>你是说 <suggestion><match no=""1"" regexp_match=""s$"" regexp_replace="""" /></suggestion> 吗?</message>"
group,1,TYPOS,Possible Typo,misspelling,IN_LAWS,brother-in-laws (brothers-in-law),,"<message>Did you mean <suggestion><match no=""1"" regexp_match=""-in-laws$"" regexp_replace=""s-in-law"" /></suggestion>?</message>","<message>你是说 <suggestion><match no=""1"" regexp_match=""s$"" regexp_replace="""" /></suggestion> 吗?</message>"
single,,TYPOS,Possible Typo,misspelling,TRUE_TO_WORD,true to her words (word),,<message>Did you mean the idiom 'true to one's <suggestion>word</suggestion>' (=keep one's promise)?</message>,"<message>你是说我们常说的""忠于某人的 <suggestion>word</suggestion> ""就是信守诺言吗?</message>"
single,,TYPOS,Possible Typo,misspelling,DEGREE_CHANGE,360 (180) degree change,,"<message>Did you mean <suggestion><match no=""1"" regexp_match=""360"" regexp_replace=""180"" /></suggestion>? (360 degrees leads to the starting point)</message>","<message>你是说 <suggestion><match no=""1"" regexp_match=""360"" regexp_replace=""180"" /></suggestion> 吗? (360度又回到起点)</message>"
single,,TYPOS,Possible Typo,misspelling,TOW_THE_LINE,tow (toe) the line,,<message>Did you mean <suggestion>toe</suggestion>?</message>,<message>你是说 <suggestion>toe</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,RACK_BRAIN,wrack (rack) one's brain about,,"<message>Did you mean <suggestion><match no=""1"" regexp_match=""w"" regexp_replace="""" /></suggestion>?</message>","<message>你是说 <suggestion><match no=""1"" regexp_match=""w"" regexp_replace="""" /></suggestion> 吗?</message>"
single,,TYPOS,Possible Typo,misspelling,HALO_HALLO,Halo (Hallo),,"<message>Did you mean <suggestion>Hallo</suggestion>, the greeting? A halo is an optical phenomenon.</message>","<message>你是说 <suggestion>Hallo</suggestion> , 是在打招呼吗? 光环是一种光学现象.</message>"
group,0,TYPOS,Possible Typo,misspelling,APOS_RE,we'Re' (we're) etc,,<message>Did you mean <suggestion>\1\2re</suggestion>?</message>,<message>你是说 <suggestion>\1\2re</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,APOS_RE,we'Re' (we're) etc,,<message>Did you mean <suggestion>\1\2t</suggestion>?</message>,<message>你是说 <suggestion>\1\2re</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,AS_FOLLOW_AS_FOLLOWS,'as follow' (as follows),,<message>Did you mean <suggestion>as follows</suggestion>?</message>,<message>你是说 <suggestion>as follows</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,BY_PASSIVE_PARTICIPLE_BE,'by' + passive participle (be),,<message>Did you mean <suggestion>be</suggestion>?</message>,<message>你是说 <suggestion>be</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,MISS_VERB,miss use (misuse),,<message>Possible spelling error: Did you mean <suggestion>mis\2</suggestion></message>,<message>可能出现的拼写错误：你是说 <suggestion>mis\2</suggestion> 吗?</message>
group,0,TYPOS,Possible Typo,misspelling,WORD_WAR,Word War (World War),,<message>Possible spelling error: Did you mean <suggestion>World War</suggestion></message>,<message>可能出现的拼写错误：你是说 <suggestion>World War</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,WONT,wont (won't),,"<message>Please make sure you mean 'wont' (a habit), not <suggestion>won't</suggestion>/<suggestion>won’t</suggestion> (short for 'will not')?</message>","<message>请确认你说的是 'wont' (一种习惯), 而不是 <suggestion>won't</suggestion> /<suggestion>won’t</suggestion> will not 的简写。</message>"
group,0,TYPOS,Possible Typo,misspelling,PERS_PRON_CONTRACTION,I'l (I'll) etc.,,<message>Did you mean <suggestion>\1\2ll</suggestion>?</message>,<message>你是说 <suggestion>\1\2ll</suggestion> 吗?</message>
group,1,TYPOS,Possible Typo,misspelling,PERS_PRON_CONTRACTION,I'l (I'll) etc.,,<message>Did you mean <suggestion>\1\2re</suggestion>?</message>,<message>你是说 <suggestion>\1\2ll</suggestion> 吗?</message>
group,2,TYPOS,Possible Typo,misspelling,PERS_PRON_CONTRACTION,I'l (I'll) etc.,,<message>Did you mean <suggestion>\1\2ve</suggestion>?</message>,<message>你是说 <suggestion>\1\2ll</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,BEAT_REGARDS,beat (best) regards,,<message>Did you mean <suggestion>best</suggestion>?</message>,<message>你是说 <suggestion>best</suggestion> 吗?</message>
single,,TYPOS,Possible Typo,misspelling,LING,ling (long),,<message>Did you mean <suggestion>long</suggestion>?</message>,<message>你是说 <suggestion>long</suggestion> 吗?</message>
