type,group_id,category_id,category_name,category_type,rule_id,rule_name,message,error_type
single,,GRAMMAR,Grammar,grammar,LET_OBJECT,Let + object,Please check whether an object form is required here.,
single,,GRAMMAR,Grammar,grammar,ASK_NO_PREPOSITION,ask + object (no preposition),The verb 'to  someone' does not require a preposition.,
single,,GRAMMAR,Grammar,grammar,PLEASE_VBZ,please + 3rd person verb,Did you mean ?,
single,,GRAMMAR,Grammar,grammar,BE_WILL,will follows be ('he is would'),Please check whether one of these words is redundant.,
single,,GRAMMAR,Grammar,grammar,CAN_ABLE_TO,can able to (can),Please check whether one of these words is redundant.,
single,,GRAMMAR,Grammar,grammar,RELY_ON,rely on,The verb 'to rely' requires the preposition '(up)on':  \1 on.,
single,,GRAMMAR,Grammar,grammar,ALLOW_TO_DO,Missing preposition: allow (to) do,Please check whether 'to' is missing here (to allow to do something).,
single,,GRAMMAR,Grammar,grammar,EXPLAIN_TO,Missing preposition: explain (to),The verb 'to explain something to someone' requires a preposition.,
single,,GRAMMAR,Grammar,grammar,DEPEND_ON,depend on,The verb 'to depend' requires the preposition '(up)on':  \1 on.,
group,0,GRAMMAR,Grammar,grammar,AND_END,the and (end),Did you mean end.,
group,0,GRAMMAR,Grammar,grammar,GRADUATE_FROM,graduate from,The verb 'to graduate' requires the preposition 'from': \1 from.,
group,1,GRAMMAR,Grammar,grammar,GRADUATE_FROM,graduate from,The verb 'to graduate' requires the preposition 'from': \2 from.,
single,,GRAMMAR,Grammar,grammar,ALL_MOST_SOME_OF_NOUN,all/most/some (of) + noun,Consider using \1  or \1 of the \3.,
single,,GRAMMAR,Grammar,grammar,WHO_VERB,Who + verb (who know's/knows),Did you mean \1 \2s?,
single,,GRAMMAR,Grammar,grammar,IF_THERE,missing verb after 'if there',Please check whether a verb is missing here or whether 'there' should be 'their'.,
single,,GRAMMAR,Grammar,grammar,DONT_WHAT,missing verb (dont't what / dont't know what),Please check whether a verb is missing here.,
single,,GRAMMAR,Grammar,grammar,CAN_WHAT,missing verb (can what / can see what),Please check whether a verb is missing here.,
single,,GRAMMAR,Grammar,grammar,OBJECTIVE_CASE,objective case after with(out)/at/to/...,"Did you mean \1 me, \1 her, \1 him, \1 us, or \1 them?",
