4 single  DEGREE_CHANGE not well-formed (invalid token): line 1, column 38
6 single  RACK_BRAIN not well-formed (invalid token): line 1, column 38
53 group 1 APART_A_PART no element found: line 1, column 0
54 group 2 APART_A_PART no element found: line 1, column 0
83 single  THE_HOW not well-formed (invalid token): line 1, column 38
175 group 2 LETS_LET no element found: line 1, column 0
176 group 3 LETS_LET no element found: line 1, column 0
177 group 4 LETS_LET no element found: line 1, column 0
220 group 1 WHOS no element found: line 1, column 0
221 group 2 WHOS no element found: line 1, column 0
222 group 3 WHOS no element found: line 1, column 0
223 group 4 WHOS no element found: line 1, column 0
224 group 5 WHOS no element found: line 1, column 0
225 group 6 WHOS no element found: line 1, column 0
226 group 7 WHOS no element found: line 1, column 0
235 single  SQUARED_SQUARE not well-formed (invalid token): line 1, column 38
258 single  HASNT_IRREGULAR_VERB not well-formed (invalid token): line 1, column 38
259 single  COULDVE_IRREGULAR_VERB not well-formed (invalid token): line 1, column 38
311 single  VB_A_WHILE not well-formed (invalid token): line 1, column 38
322 single  DT_BAIL_OUT not well-formed (invalid token): line 1, column 38
324 single  ALBUM_COMPRISED_OF not well-formed (invalid token): line 1, column 38
327 single  COMPRISED_PRINCIPALLY_OF not well-formed (invalid token): line 1, column 47
328 single  ENTIRELY_COMPRISED_OF not well-formed (invalid token): line 1, column 38
342 single  WRITINGPOLITICALSCIENCE_GAFFS not well-formed (invalid token): line 1, column 38
343 single  WRITINGPOLITICALSCIENCE_GAFF not well-formed (invalid token): line 1, column 38
344 single  WERE_MD not well-formed (invalid token): line 1, column 44
347 single  ELUDED_TO not well-formed (invalid token): line 1, column 38
348 single  ALLUDE_ELUDE not well-formed (invalid token): line 1, column 38
355 single  SPINAL_CHORD not well-formed (invalid token): line 1, column 41
359 single  FAIRED_BADLY not well-formed (invalid token): line 1, column 44
361 single  PUT_FOURTH_THEAAN not well-formed (invalid token): line 1, column 48
364 single  LESS_DOLLARSMINUTESHOURS not well-formed (invalid token): line 1, column 44
367 single  AM_LOATHE_TO not well-formed (invalid token): line 1, column 38
368 single  LOOSING_EFFORTRECORDSEASON not well-formed (invalid token): line 1, column 45
371 single  MOST_POPULACE not well-formed (invalid token): line 1, column 38
372 single  AT_THE_REIGNS not well-formed (invalid token): line 1, column 39
383 single  IN_PRP_THEN_IN_PRP not well-formed (invalid token): line 1, column 38
384 single  COMPARISONS_THEN not well-formed (invalid token): line 1, column 38
385 single  COMPARISONS_NNS_THEN not well-formed (invalid token): line 1, column 38
386 single  COMPARISONS_AS_ADJECTIVE_AS not well-formed (invalid token): line 1, column 38
387 single  TO__THEN_BY not well-formed (invalid token): line 1, column 38
390 single  ABOUT_WHO_TO not well-formed (invalid token): line 1, column 38
396 single  VBG_YOURE not well-formed (invalid token): line 1, column 38
397 single  THATS_YOURE not well-formed (invalid token): line 1, column 38
398 single  THATS_THEYRE not well-formed (invalid token): line 1, column 38
399 single  THATS_ITS not well-formed (invalid token): line 1, column 38
406 single  YOURE_JJS_NN not well-formed (invalid token): line 1, column 43
407 single  THEYRE_JJS_NN not well-formed (invalid token): line 1, column 44
409 single  VBZ_IN_THEYRE_NN not well-formed (invalid token): line 1, column 38
410 single  IN_VBZ_THEYRE_NN not well-formed (invalid token): line 1, column 38
411 single  DT_VBZ_THEYRE_NN not well-formed (invalid token): line 1, column 38
412 single  NEED_TO_VBG not well-formed (invalid token): line 1, column 38
416 single  LAY_AROUND not well-formed (invalid token): line 1, column 42
417 single  LAYING_AROUND not well-formed (invalid token): line 1, column 44
418 single  LAYS_ATOP not well-formed (invalid token): line 1, column 43
449 single  NOBLE_PRIZE not well-formed (invalid token): line 1, column 44
455 single  DISCUSSIONS_AROUND not well-formed (invalid token): line 1, column 38
481 single  SENSE_OF_FALSE_HOPEPRIVACYSECURITY not well-formed (invalid token): line 1, column 53
509 single  YOULL_WILL not well-formed (invalid token): line 1, column 38
510 single  ITS_IS not well-formed (invalid token): line 1, column 38
511 single  WERE_ARE not well-formed (invalid token): line 1, column 38
513 single  IVE_HAVE not well-formed (invalid token): line 1, column 38
514 single  ID_WOULD not well-formed (invalid token): line 1, column 38
539 single  CONFUSION_OF_FOND_FUND not well-formed (invalid token): line 1, column 37
552 single  TOO_CARDINAL_NUMBER not well-formed (invalid token): line 1, column 41
553 single  TOO_DETERMINER not well-formed (invalid token): line 1, column 41
557 single  ASK_NO_PREPOSITION not well-formed (invalid token): line 1, column 27
558 single  PLEASE_VBZ not well-formed (invalid token): line 1, column 38
568 single  ALL_MOST_SOME_OF_NOUN not well-formed (invalid token): line 1, column 40
578 single  BASE_FORM not well-formed (invalid token): line 1, column 51
588 single  WE_RB_ARE_VB not well-formed (invalid token): line 1, column 38
591 single  SOME_FACULTY not well-formed (invalid token): line 1, column 30
596 single  SOME_NN_VBP not well-formed (invalid token): line 1, column 38
602 single  PREFER_TO_VBG not well-formed (invalid token): line 1, column 38
603 single  VE_HAVING not well-formed (invalid token): line 1, column 38
604 single  HAVE_HAVING not well-formed (invalid token): line 1, column 38
605 single  PRP_MD_CD_IN not well-formed (invalid token): line 1, column 38
606 single  HAD_VBP not well-formed (invalid token): line 1, column 48
615 single  IT_IS_JJ_TO_VBG not well-formed (invalid token): line 1, column 38
616 single  BE_USE_TO_DO not well-formed (invalid token): line 1, column 38
629 single  A_GREAT_NUMBER_OF_NN not well-formed (invalid token): line 1, column 38
630 single  MANY_KINDS_OF not well-formed (invalid token): line 1, column 38
643 group 1 IN_WHO no element found: line 1, column 0
644 group 2 IN_WHO no element found: line 1, column 0
647 group 1 FEWER_LESS no element found: line 1, column 0
648 group 2 FEWER_LESS no element found: line 1, column 0
651 single  DO_VBZ not well-formed (invalid token): line 1, column 40
652 single  MD_BE_NON_VBP not well-formed (invalid token): line 1, column 44
653 single  DOES_NP_VBZ not well-formed (invalid token): line 1, column 38
655 single  WHAT_VBZ not well-formed (invalid token): line 1, column 38
656 single  IT_VBZ not well-formed (invalid token): line 1, column 38
660 group 1 ADVERB_WORD_ORDER no element found: line 1, column 0
661 group 2 ADVERB_WORD_ORDER no element found: line 1, column 0
662 group 3 ADVERB_WORD_ORDER no element found: line 1, column 0
663 group 4 ADVERB_WORD_ORDER no element found: line 1, column 0
664 group 5 ADVERB_WORD_ORDER no element found: line 1, column 0
